[Header Info Signal 1 COLT 3.0]
"ECD005972.D","RS/CMP","D:\GCECD\DATA\18sep\",[GC],1
14-Sep-18, 11:53:05,2016PEST-PSD-009.M,4
"chloropropylate",11689474674,13.640,860.08
"perthan",2036701965,13.451,426.15
"chlorobenzilate",11715585889,13.639,859.07
"endrin",75268295715,13.233,268.86
"p,p'-DDD",74613779564,13.826,242.91
"ethion",59029287530,13.946,512.56
"endosulfan II",75789795323,13.577,259.21
"p,p'-DDT",76803288406,14.937,243.64
"endrin aldehyde",69478086847,14.007,324.38
"bifenthrin",44275942781,16.370,757.36
"endosulfan sulfate",61204212289,14.693,365.26
"iprodione",25390856145,13.743,505.63
"L-cyhalothrin I",54749625901,17.087,271.61
"L-cyhalothrin II",31872954267,17.238,308.75
"captofol",3085120845,15.492,206.63
"methoxychlor",28804325061,16.313,238.01
"mirex",54749625901,17.087,271.61
"endrin ketone",66194949851,15.910,731.27
"cyfluthrin I",710335743,17.309,0.93
"imidan",42760313909,16.092,511.93
"cis-permethrin",3965448777,17.821,131.16
"trans-permethrin",6499905289,17.919,214.18
"acetamiprid",66194949851,15.910,687.38
"guthion",0,0.000,0.00
"cyfluthrin II",7354874668,18.214,70.22
"cyfluthrin III",6630469485,18.319,78.68
"cyfluthrin IV",6519164320,18.319,48.36
"cyfluthrin V",6794360050,18.352,73.64
"cypermethrin I",4906229702,18.423,81.14
"cypermethrin II",6272110024,18.495,140.27
"cypermethrin III",3833135429,18.525,48.69
"cypermethrin IV",5071917868,18.555,67.49
"esfenvalerate I",16395645308,18.465,41.35
"deltamethrin + tralomethrin I",38895042658,18.631,122.24
"esfenvalerate II",8930424386,18.971,57.12
"esfenvalerate III",9235883099,19.096,191.42
"deltamethrin + tralomethrin II",13817459580,19.297,103.33
"deltamethrin + tralomethrin III",17878506433,19.407,393.95
[Resolution Signal 1]
